title,authors,year,journal,abstract,keywords,citation
Preventing Vanishing Gradient Problem of Hardware Neuromorphic System by Implementing Imidazole‐Based Memristive ReLU Activation Neuron,"Jungyeop Oh, Sung-Kyu Kim, Changhyeon Lee, Jun‐Hwe Cha, Sang Yoon Yang, Sung Gap Im, Cheolmin Park, Byung Chul Jang, Sung‐Yool Choi",2023,,"With advances in artificial intelligent services, brain-inspired neuromorphic systems with synaptic devices are recently attracting significant interest to circumvent the von Neumann bottleneck. However, the increasing trend of deep neural network parameters causes huge power consumption and large area overhead of a nonlinear neuron electronic circuit, and it incurs a vanishing gradient problem. Here, a memristor-based compact and energy-efficient neuron device is presented to implement a rectifying linear unit (ReLU) activation function. To emulate the volatile and gradual switching of the ReLU function, a copolymer memristor with a hybrid structure is proposed using a copolymer/inorganic bilayer. The functional copolymer film developed by introducing imidazole functional groups enables the formation of nanocluster-type pseudo-conductive filaments by boosting the nucleation of Cu nanoclusters, causing gradual switching. The ReLU neuron device is successfully demonstrated by integrating the memristor with amorphous InGaZnO thin-film transistors, and achieves 0.5 pJ of energy consumption based on sub-10 µA operation current and high-speed switching of 650 ns. Furthermore, device-to-system-level simulation using neuron devices on the MNIST dataset demonstrates that the vanishing gradient problem is effectively resolved by five-layer deep neural networks. The proposed neuron device will enable the implementation of high-density and energy-efficient hardware neuromorphic systems.",,34
Ultrasensitive dim-light neuromorphic vision sensing via momentum-conserved reconfigurable van der Waals heterostructure,"Lei Xu, Junling Liu, Xinrui Guo, Shuo Liu, Xilin Lai, Jingyue Wang, Mengshi Yu, Zhengdao Xie, Hailin Peng, Xuming Zou, Xinran Wang, Ru Huang, Ming He",2024,,"Reconfigurable phototransistors featuring bipolar photoresponses are favorable for manipulating high-performance neuromorphic vision sensory. Here, we present a momentum-conserved reconfigurable phototransistor based on the van der Waals heterojunction between methylammonium lead iodide perovskite and two-dimensional Bi<sub>2</sub>O<sub>2</sub>Se semiconductor, which exhibits a synergistic interplay of interband hot-carrier transitions and reconfigurable heterointerface band alignments, eventually achieving the ultrahigh bipolar optoelectronic performances with the photoresponsivity of 6×10<sup>7</sup> AW<sup>-1</sup>, accompanied by the specific detectivity of 5.2×10<sup>11</sup> Jones, and the dynamic range of 110 dB. Moreover, A 3×3 heterotransistor array is fabricated to perform in-sensor analog multiply-accumulate operations even under the challenging dim illumination of 0.1 μWcm<sup>-2</sup> that comparable to natural moonlight. The reconfigurable heterotransistor array can be further adopted to enhance the traffic-light detection under dim-light conditions. Our advancement in momentum-conserved reconfigurable heterotransistor signifies a leap forward in real-time, energy-efficient, and low-light image processing for neuromorphic vision sensors.",,34
Optoelectronic Synaptic Transistors Based on Solution-Processable Organic Semiconductors and CsPbCl<sub>3</sub> Quantum Dots for Visual Nociceptor Simulation and Neuromorphic Computing,"Pu Guo, Junyao Zhang, Dapeng Liu, Ruizhi Wang, Li Li, Tian Li, Jia Huang",2023,,"Increasing attention has been paid to organic electronics emulating the characteristics and functions of the peripheral nervous system (PNS) and central nervous system (CNS) in living organisms, which has important implications for exploring electronics from the underlying architecture to emulate biological sensory synapses/neurons and develop brain-like chips. However, the vast majority of current research has been limited to biomimetic electronics that implement the functionality of a single PNS or CNS. Here, we develop solution-processed optoelectronic synaptic transistors (OSTs) that simultaneously simulate the visual nociceptor perception functions of the PNS as well as the memorizing and computing functions of the CNS, where CsPbCl<sub>3</sub> quantum dots (QDs) and organic semiconductor serve as the photoactive layer and channel layer, respectively. Benefiting from the distinctive absorption characteristic of CsPbCl<sub>3</sub> QDs, the OSTs illustrate decent ultraviolet light selectivity, which can be utilized to mimic visual nociceptor behavior triggered by ultraviolet irradiation for pain perception. Furthermore, the OSTs successfully achieve 1000 conductance states, which also confirms the outstanding conductivity regulation ability of the OSTs and their potential in pattern recognition based on artificial neural networks. This work provides a pathway for the development of future artificial vision and neuromorphic computing using OSTs based on solution-processable organic semiconductors and QDs.",,34
Wavelength‐Selective Photodetector and Neuromorphic Visual Sensor Utilizing Intrinsic Defect Semiconductor,"Peng Wang, Wuhong Xue, Jianmin Zeng, Wenjuan Ci, Qi Chen, Baohua Lv, Ruilong Yang, Yang Liu, Gang Liu, Xiaohong Xu",2024,,"Abstract With the rapid developments of Artificial Intelligence (AI) and the Internet of Things (IoT), increasingly intricate and expanding application scenarios are placing higher demands on current machine vision capabilities. Therefore, there is a pressing need to simultaneously achieve diverse functionalities, simple designs, and efficient computing in vision devices. Here, the study develops a two‐terminal optoelectronic device utilizing a single 2D intrinsic defect semiconductor In 2 S 3 . The device demonstrates wavelength‐selective photodetection and neuromorphic visual capabilities, attributed to defect‐related charge‐trapping/de‐trapping processes. As a photodetector, the device exhibits a high photoresponsivity of 473.6 A W −1 , a high external quantum efficiency of 1.6 × 10 5 %, and a fast rise/fall time of 0.3/1.4 ms at the wavelength of 359 nm. As an all‐in‐one neuromorphic visual device, optoelectronic‐driven fundamental synaptic functions, including paired‐pulse facilitation (PPF), short‐term plasticity (STP), long‐term plasticity (LTP), and “learning‐experience”, are successfully mimicked at the wavelength of 671 nm. Moreover, one‐shot recognition of the 12‐letter image “SHAN XI NORMAL” is achieved through an artificial convolutional neural network. This study provides a new strategy for developing compact high‐level intelligence systems for complex application scenarios.",,34
Neuromorphic Computing via Fission‐based Broadband Frequency Generation,"Bennet Fischer, Mario Chemnitz, Yi Zhu, Nicolas Perron, Piotr Roztocki, Benjamin MacLellan, Luigi Di Lauro, A. Aadhi, Cristina Rimoldi, Tiago H. Falk, Roberto Morandotti",2023,,"The performance limitations of traditional computer architectures have led to the rise of brain-inspired hardware, with optical solutions gaining popularity due to the energy efficiency, high speed, and scalability of linear operations. However, the use of optics to emulate the synaptic activity of neurons has remained a challenge since the integration of nonlinear nodes is power-hungry and, thus, hard to scale. Neuromorphic wave computing offers a new paradigm for energy-efficient information processing, building upon transient and passively nonlinear interactions between optical modes in a waveguide. Here, an implementation of this concept is presented using broadband frequency conversion by coherent higher-order soliton fission in a single-mode fiber. It is shown that phase encoding on femtosecond pulses at the input, alongside frequency selection and weighting at the system output, makes transient spectro-temporal system states interpretable and allows for the energy-efficient emulation of various digital neural networks. The experiments in a compact, fully fiber-integrated setup substantiate an anticipated enhancement in computational performance with increasing system nonlinearity. The findings suggest that broadband frequency generation, accessible on-chip and in-fiber with off-the-shelf components, may challenge the traditional approach to node-based brain-inspired hardware design, ultimately leading to energy-efficient, scalable, and dependable computing with minimal optical hardware requirements.",,34
Multimodal Artificial Synapses for Neuromorphic Application,"Runze Li, Zengji Yue, Haitao Luan, Yibo Dong, Xi Chen, Min Gu",2024,,"The rapid development of neuromorphic computing has led to widespread investigation of artificial synapses. These synapses can perform parallel in-memory computing functions while transmitting signals, enabling low-energy and fast artificial intelligence. Robots are the most ideal endpoint for the application of artificial intelligence. In the human nervous system, there are different types of synapses for sensory input, allowing for signal preprocessing at the receiving end. Therefore, the development of anthropomorphic intelligent robots requires not only an artificial intelligence system as the brain but also the combination of multimodal artificial synapses for multisensory sensing, including visual, tactile, olfactory, auditory, and taste. This article reviews the working mechanisms of artificial synapses with different stimulation and response modalities, and presents their use in various neuromorphic tasks. We aim to provide researchers in this frontier field with a comprehensive understanding of multimodal artificial synapses.",,34
Introducing ‘Neuromorphic Computing and Engineering’,Giacomo Indiveri,2021,,"Abstract The standard nature of computing is currently being challenged by a range of problems that start to hinder technological progress. One of the strategies being proposed to address some of these problems is to develop novel brain-inspired processing methods and technologies, and apply them to a wide range of application scenarios. This is an extremely challenging endeavor that requires researchers in multiple disciplines to combine their efforts and simultaneously co-design the processing methods, the supporting computing architectures, and their underlying technologies. The journal ‘Neuromorphic Computing and Engineering’ (NCE) has been launched to support this new community in this effort and provide a forum and repository for presenting and discussing its latest advances. Through close collaboration with our colleagues on the editorial team, the scope and characteristics of NCE have been designed to ensure it serves a growing transdisciplinary and dynamic community across academia and industry.",,34
CMOS back-end compatible memristors for <i>in situ</i> digital and neuromorphic computing applications,"Zhenyu He, Tianyu Wang, Jialin Meng, Hao Zhu, Ji Li, Qingqing Sun, Lin Chen, David Wei Zhang",2021,,"In-memory logic calculations and brain-inspired artificial synaptic neuromorphic computing are expected to solve the limitations of the traditional von Neumann computing architecture. The data processing efficiency of the traditional von Neumann architecture is inherently limited by its physically separated processing and storage units, and thus data transmission besides calculation leads to a limited calculation speed and additional high-power consumption. In addition, traditional digital logic calculations and analog calculations have greater limitations in conversion. Herein, we report a flexible two-terminal memristor based on SiCO:H, which is a porous low-<i>k</i> back-end complementary metal-oxide-semiconductor (CMOS)-compatible material. Due to its low operating voltage (200 mV) and fast response speed (100 ns), it could perform digital memory calculation and neuromorphic calculation simultaneously. The memristor could realize a transition from short-term to long-term plasticity in the process of enhancement and inhibition during neuromorphic calculation, with high biological reality. In digital logic calculations, IMP-based and MAGIC-based logic calculations were verified. In neuromorphic computing, an Ag ion-based conductive filament was introduced. The relationship between the temporal dynamics of the conductance evolution and the diffusive dynamics of the Ag active metal could be modulated by the external programming electric field strength. The synapses and neuron dynamics in biology were faithfully simulated, realizing a transition from short-term to long-term plasticity in the process of enhancement and inhibition, which has high compatibility and scalability, proposing a novel solution for the next generation of computer architectures.",,34
Review of applications of 2D materials in memristive neuromorphic circuits,"Lei Wang, Xinyi Shen, Zhixuan Gao, Jinke Fu, Suhao Yao, Luyao Cheng, Xiaojuan Lian",2022,,,,34
NeuroGrasp: Multimodal Neural Network With Euler Region Regression for Neuromorphic Vision-Based Grasp Pose Estimation,"Hu Cao, Guang Chen, Zhijun Li, Yingbai Hu, Alois Knoll",2022,,"Grasp pose estimation is a crucial procedure in robotic manipulation. Most of the current robot grasp manipulation systems are built on frame-based cameras like RGB-D cameras. However, the traditional frame-based grasp pose estimation methods have encountered challenges in scenarios such as low dynamic range and low power consumption. In this work, a neuromorphic vision sensor (DAVIS) is introduced to the field of robotic grasp. DAVIS is an event-based bio-inspired vision sensor that records asynchronous streams of local pixel-level light intensity changes, called events. The strengths of DAVIS are it can provide high temporal resolution, high dynamic range, low power consumption, and no motion blur. We construct a neuromorphic vision-based robotic grasp dataset with 154 moving objects, named NeuroGrasp, which is the first RGB-Event multi-modality grasp dataset (to the best of our knowledge). This dataset records both RGB frames and the corresponding event streams, providing frame data with rich color and texture information and event streams with high temporal resolution and high dynamic range. Based on the NeuroGrasp dataset, we further develop a multi-modal neural network with a specific Euler-Region-Regression sub-Network (ERRN) to perform grasp pose estimation. Combining with frame-based and event-based vision, the proposed method achieves better performance than the method that only takes RGB frames or event streams as input on the NeuroGrasp dataset.",,34
Neuromorphic electro-stimulation based on atomically thin semiconductor for damage-free inflammation inhibition,"Rong Bao, Shuiyuan Wang, Xiaoxian Liu, Kejun Tu, Jingquan Liu, Xiaohe Huang, Chunsen Liu, Peng Zhou, Shen Liu",2024,,"Inflammation, caused by accumulation of inflammatory cytokines from immunocytes, is prevalent in a variety of diseases. Electro-stimulation emerges as a promising candidate for inflammatory inhibition. Although electroacupuncture is free from surgical injury, it faces the challenges of imprecise pathways/current spikes, and insufficiently defined mechanisms, while non-optimal pathway or spike would require high current amplitude, which makes electro-stimulation usually accompanied by damage and complications. Here, we propose a neuromorphic electro-stimulation based on atomically thin semiconductor floating-gate memory interdigital circuit. Direct stimulation is achieved by wrapping sympathetic chain with flexible electrodes and floating-gate memory are programmable to fire bionic spikes, thus minimizing nerve damage. A substantial decrease (73.5%) in inflammatory cytokine IL-6 occurred, which also enabled better efficacy than commercial stimulator at record-low currents with damage-free to sympathetic neurons. Additionally, using transgenic mice, the anti-inflammation effect is determined by β2 adrenergic signaling from myeloid cell lineage (monocytes/macrophages and granulocytes).",,34
Dynamical properties of neuromorphic Josephson junctions,"Dimitrios Chalkiadakis, Johanne Hizanidis",2022,,"Neuromorphic computing exploits the dynamical analogy between many physical systems and neuron biophysics. Superconductor systems, in particular, are excellent candidates for neuromorphic devices due to their capacity to operate at great speeds and with low energy dissipation compared to their silicon counterparts. In this paper, we revisit a prior work on Josephson Junction-based neurons to identify the exact dynamical mechanisms underlying the system's neuronlike properties and reveal complex behaviors which are relevant for neurocomputation and the design of superconducting neuromorphic devices. Our paper lies at the intersection of superconducting physics and theoretical neuroscience, both viewed under a common framework-that of nonlinear dynamics theory.",,34
Metal chalcogenides for neuromorphic computing: emerging materials and mechanisms,"Sage R. Bauers, M. Brooks Tellekamp, Dennice M. Roberts, Breanne Hammett, Stephan Lany, Andrew J. Ferguson, Andriy Zakutayev, Sanjini U. Nanayakkara",2021,,"Abstract The approaching end of Moore’s law scaling has significantly accelerated multiple fields of research including neuromorphic-, quantum-, and photonic computing, each of which possesses unique benefits unobtained through conventional binary computers. One of the most compelling arguments for neuromorphic computing systems is power consumption, noting that computations made in the human brain are approximately 10 6 times more efficient than conventional CMOS logic. This review article focuses on the materials science and physical mechanisms found in metal chalcogenides that are currently being explored for use in neuromorphic applications. We begin by reviewing the key biological signal generation and transduction mechanisms within neuronal components of mammalian brains and subsequently compare with observed experimental measurements in chalcogenides. With robustness and energy efficiency in mind, we will focus on short-range mechanisms such as structural phase changes and correlated electron systems that can be driven by low-energy stimuli, such as temperature or electric field. We aim to highlight fundamental materials research and existing gaps that need to be overcome to enable further integration or advancement of metal chalcogenides for neuromorphic systems.",,34
High Performance and Self-rectifying Hafnia-based Ferroelectric Tunnel Junction for Neuromorphic Computing and TCAM Applications,"Youngin Goh, Junghyeon Hwang, Minki Kim, Minhyun Jung, Sehee Lim, Seong‐Ook Jung, Sanghun Jeon",2021,,"We experimentally demonstrated high performance and self-rectifying hafnia based ferroelectric tunnel junction (FTJ) using stress engineering, diffusion barrier technology, and imprint field effect for neuromorphic computing and logic in memory application. In TiN/HZO/TaN/W stacked FTJ, <tex xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">$W$</tex> bottom electrode which has low thermal expansion coefficient enables to stabilize the ferroelectric o-phase even at ultra-thin HZO film, and TaN layer suppresses the diffusion of W atoms into ferroelectric HZO layer, resulting in reduction of leakage current and giant TER value of 100. In addition, highly asymmetric switching characteristics with rectifying ratio of 1000 is achieved using imprint field effect induced by positive fixed charges nearby bottom interface. The proposed device provides a viable solution for high performance, low power and high-density synaptic devices and TCAM applications.",,34
Operating Mechanism Principles and Advancements for Halide Perovskite-Based Memristors and Neuromorphic Devices,"Soyeon Kim, Heyi Zhang, Jenifer Rubio‐Magnieto",2024,,"With the advent of the generation of artificial intelligence (AI) based on big data-processing technologies, next-generation memristor and memristive neuromorphic devices have been actively studied with great interest to overcome the von Neumann bottleneck limits. Among various candidates, halide perovskites (HPs) have been in the spotlight as potential candidates for these devices due to their unique switching characteristics with low energy consumption and flexible integration compatibility across various sources for scalability. We outline the characteristics and operating principles of HP-based memristors and their neuromorphic devices. We explain filamentary- and interface-type switching according to the type of conducting pathway occurring inside the active HP layer and the operating mechanisms depending on the species that make up this conducting pathway. We summarize the types and mechanisms of current changes beneficial for neuromorphic device applications and finally organize various suggested analysis tools and physical models to enable experimental determination of switching mechanisms from various perspectives.",,34
Exploring the Cutting‐Edge Frontiers of Electrochemical Random Access Memories (ECRAMs) for Neuromorphic Computing: Revolutionary Advances in Material‐to‐Device Engineering,"Revannath Dnyandeo Nikam, Jongwon Lee, Kyumin Lee, Hyunsang Hwang",2023,,"Advanced materials and device engineering has played a crucial role in improving the performance of electrochemical random access memory (ECRAM) devices. ECRAM technology has been identified as a promising candidate for implementing artificial synapses in neuromorphic computing systems due to its ability to store analog values and its ease of programmability. ECRAM devices consist of an electrolyte and a channel material sandwiched between two electrodes, and the performance of these devices depends on the properties of the materials used. This review provides a comprehensive overview of material engineering strategies to optimize the electrolyte and channel materials' ionic conductivity, stability, and ionic diffusivity to improve the performance and reliability of ECRAM devices. Device engineering and scaling strategies are further discussed to enhance ECRAM performance. Last, perspectives on the current challenges and future directions in developing ECRAM-based artificial synapses in neuromorphic computing systems are provided.",,34
Energy efficient short-term memory characteristics in Ag/SnOx/TiN RRAM for neuromorphic system,"Osung Kwon, Jiwoong Shin, Daewon Chung, Sungjun Kim",2022,,,,34
Optoelectronic synaptic device based on ZnO/HfOx heterojunction for high-performance neuromorphic vision system,"Xuanyu Shan, Chenyi Zhao, Ya Lin, Jilin Liu, Xiaohan Zhang, Ye Tao, Chunliang Wang, Xiaoning Zhao, Zhongqiang Wang, Haiyang Xu, Yichun Liu",2022,,"Optoelectronic synapses are considered to be important cornerstones in the construction of neuromorphic computing systems because of their low power consumption, high operating speeds, and high scalability. In this work, we demonstrate an optoelectronic synaptic device based on a ZnO/HfOx heterojunction in which optical potentiation/electrical depression behaviors and nonvolatile high current state can be implemented. The heterojunction device exhibits conductance evolution with high linearity. The excellent optoelectronic memristive behavior of the device can be attributed to the interface barrier between ZnO and HfOx, which hinders the recombination of photo-excited electron–hole pairs to increase the carrier lifetime, and realizes the nonvolatile high current state. More importantly, the artificial vision system based on optoelectronic synaptic devices can achieved a high recognition accuracy of 96.1%. Our work provides a feasible pathway toward the development of optoelectronic synaptic devices for use in high-performance neuromorphic vision systems.",,34
Highly Efficient Back-End-of-Line Compatible Flexible Si-Based Optical Memristive Crossbar Array for Edge Neuromorphic Physiological Signal Processing and Bionic Machine Vision,"Dayanand Kumar, Hanrui Li, Dhananjay D. Kumbhar, Manoj K. Rajbhar, Uttam Kumar Das, Abdul Momin Syed, Georgian Melinte, Nazek El‐Atab",2024,,"The emergence of the Internet-of-Things is anticipated to create a vast market for what are known as smart edge devices, opening numerous opportunities across countless domains, including personalized healthcare and advanced robotics. Leveraging 3D integration, edge devices can achieve unprecedented miniaturization while simultaneously boosting processing power and minimizing energy consumption. Here, we demonstrate a back-end-of-line compatible optoelectronic synapse with a transfer learning method on health care applications, including electroencephalogram (EEG)-based seizure prediction, electromyography (EMG)-based gesture recognition, and electrocardiogram (ECG)-based arrhythmia detection. With experiments on three biomedical datasets, we observe the classification accuracy improvement for the pretrained model with 2.93% on EEG, 4.90% on ECG, and 7.92% on EMG, respectively. The optical programming property of the device enables an ultra-low power (2.8 × 10<sup>-13</sup> J) fine-tuning process and offers solutions for patient-specific issues in edge computing scenarios. Moreover, the device exhibits impressive light-sensitive characteristics that enable a range of light-triggered synaptic functions, making it promising for neuromorphic vision application. To display the benefits of these intricate synaptic properties, a 5 × 5 optoelectronic synapse array is developed, effectively simulating human visual perception and memory functions. The proposed flexible optoelectronic synapse holds immense potential for advancing the fields of neuromorphic physiological signal processing and artificial visual systems in wearable applications.",,34
Recent Advances in Emerging Polarization‐Sensitive Materials: From Linear/Circular Polarization Detection to Neuromorphic Device Applications,"Rong Lu, Yanran Li, Honglin Song, Jie Jiang",2025,,"Abstract Polarization is an important property of light that provides some additional information about the light such as polarizability and phase. With the rise of polarized photodetectors, the detection of polarized light may bring a new way to better understand polarized light information. Recent works have shown that polarization detectors have demonstrated excellent potential in the field of neuromorphology, which is of great significance for the further development of artificial intelligence. This review comprehensively summarizes the present research status of polarized detectors, including linearly polarized detectors (LPPDs) and circularly polarized detectors (CPPDs). In order to better assess the current state of polarized detectors in the field of detecting linearly/circularly polarized light, the operating principles and performance parameters of polarized detectors are presented. Next, the universal semiconductors used for LPPDs and CPPDs are systematically classified and summarized. Based on this, the applications of polarized detectors in the fields of artificial intelligence, polarization imaging, and digital signal processing are then reviewed. Finally, the current challenging opportunities are discussed, followed by an overview of future prospects for this promising field.",,34
The SpiNNaker 2 Processing Element Architecture for Hybrid Digital Neuromorphic Computing,"Sebastian Höppner, Yexin Yan, Andreas Dixius, Stefan Scholze, Johannes Partzsch, Marco Stolba, Florian Kelber, Bernhard Vogginger, Felix Neumärker, Georg Ellguth, Stephan Hartmann, Stefan Schiefer, Thomas Hocker, Dennis Walter, Gengting Liu, Jim Garside, Steve Furber, Christian Mayr",2021,,"This paper introduces the processing element architecture of the second generation SpiNNaker chip, implemented in 22nm FDSOI. On circuit level, the chip features adaptive body biasing for near-threshold operation, and dynamic voltage-and-frequency scaling driven by spiking activity. On system level, processing is centered around an ARM M4 core, similar to the processor-centric architecture of the first generation SpiNNaker. To speed operation of subtasks, we have added accelerators for numerical operations of both spiking (SNN) and rate based (deep) neural networks (DNN). PEs communicate via a dedicated, custom-designed network-on-chip. We present three benchmarks showing operation of the whole processor element on SNN, DNN and hybrid SNN/DNN networks.",,34
Introducing Chiro-optical Activities in Photonic Synapses for Neuromorphic Computing and In-Memory Logic Operations,"Soirik Dan, Subham Paramanik, Amlan J. Pal",2024,,"In artificial synaptic devices aimed at mimicking neuromorphic computing systems, electrical or optical pulses, or both, are generally used as stimuli. In this work, we introduce chiral materials for tailoring the characteristics of photonic synaptic devices to achieve handedness-dependent neuromorphic computing and in-memory logic gates. In devices based on a pair of chiral perovskites, the use of circularly polarized light (CPL) as the optical stimuli mimicked a series of electrical and opto-synaptic functionalities in order to emulate the multifunctional complex behavior of the human brain. Upon illumination in this two-terminal device, anisotropy in current has been observed due to the out-of-plane carrier transport, originating from spin-selective carrier transport. More importantly, the logic gate achieved in devices based on optoelectronic memristors turned out to be chirality-dependent; while an <i>R</i>-device functioned as an AND gate, the device based on the same perovskite of the opposite chirality (<i>S</i>-device) acted as a NOR gate toward in-memory logic operations. These findings in chiral perovskite-based artificial synapses can identify further strategies for future neuromorphic computing, vision simulation, and artificial intelligence.",,34
"Realize low-power artificial photonic synapse based on (Al,Ga)N nanowire/graphene heterojunction for neuromorphic computing","Min Zhou, Yukun Zhao, Xiushuo Gu, Qianyi Zhang, Jianya Zhang, Min Jiang, Shulong Lu",2023,,"The fast development of brain-inspired neuromorphic computing systems has stimulated urgent requirements for artificial synapses with low-power consumption. In this work, a photonic synaptic device based on (Al,Ga)N nanowire/graphene heterojunction has been proposed and demonstrated successfully. In the artificial synaptic device, the incident light, the nanowire/graphene heterojunction, and the light-generated carriers play the roles of action potential, pre-synaptic/post-synaptic membrane, and neurotransmitter in a biological synapse, respectively. As a key synaptic function, the paired pulse facilitation index of the photonic synapse can reach 202%, which can be modulated by the interval time between two adjacent light pulses. It is found that the graphene defects, the surface band bending, and the Al vacancies on the surface of (Al,Ga)N nanowires can be the key reasons contributing to the synaptic characteristics of artificial photonic devices. Hence, the dynamic “learning–forgetting” performance of the artificial synaptic device can resemble the “learning–forgetting” behavior of the human brain. Furthermore, the hand-written digits are set up to mimic a typical characteristic of human perceptual learning. After only three training epochs, the simulated network can achieve a high recognition rate of over 90% based on the experimental conductance for long-term potentiation and long-term depression. In supervised learning processes, such few training times are beneficial to reduce energy consumption significantly. Therefore, in the area of neuromorphic computing technology and artificial intelligence systems requiring low-power consumption, this work paves a potential way to develop the optoelectronic synapse based on semiconductor nanowires.",,33
Soft Biomaterials Based Flexible Artificial Synapse for Neuromorphic Computing,"Tao Guo, Jiawei Ge, Bai Sun, Kangqiang Pan, Zhao Pan, Lan Wei, Yong Yan, Y. Zhou, Yimin A. Wu",2022,,"Abstract Artificial synapses are vital for neuromorphic computing chips that can potentially revolutionize von Neumann systems. Biomaterials‐based bio‐memristors have been investigated as synaptic emulators to develop neuromorphic computing chips due to their biocompatibility, degradability, flexibility, and low costs. However, the existing biomaterials‐based artificial synapses suffer from limited biological synapse functions, insufficient reliability, and poor endurance. Particularly, protein‐based artificial synapse with stable synaptic performances of long‐term potentiation/depression (LTP/LTD) for neuromorphic computing is challenging. Here, the soft material of egg albumen@CuO are employed to develop an artificial synapse. The device can mimic bio‐synaptic functionalities, including the excitatory postsynaptic current (EPSC), spike‐number‐dependent plasticity (SNDP), paired‐pulse facilitation (PPF), and LTP/LTD. High accuracy of 95% has been obtained by the neuromorphic computing simulation for pattern recognition. Combining with density functional theory calculations, multiphysics simulations, and electrical measurements, the analog resistive switching mechanism is attributed to electron hopping. In addition, the device is flexible and can be used to develop wearable systems. The results shed light on the biocompatible and wearable neuromorphic computing chips.",,33
Flexible TiO2-WO3−x hybrid memristor with enhanced linearity and synaptic plasticity for precise weight tuning in neuromorphic computing,"Jianyong Pan, Hao Kan, Zhaorui Liu, Song Gao, Enxiu Wu, Yang Li, Chunwei Zhang",2024,,"Tungsten oxide (WO3)-based memristors show promising applications in neuromorphic computing. However, single-layer WO3 memristors suffer from issues such as weak memory performance and nonlinear conductance variations. In this work, a functional layer based on the hybrids of WO3−x and TiO2 is proposed for constructing flexible memristors featuring outstanding synaptic characteristics. Applying diverse electrical stimulations to the memristor enables a range of synaptic functions, elucidating its conduction mechanism through the conductive filament model. The incorporation of TiO2 not only enhances the memristor’s memory characteristics but makes its conductance more linear, symmetrical and uniform during the long-term changes. Furthermore, in view of the enhanced device performance by TiO2 doping, the potential of this device for simple behavioral simulation and processing of complex computing problems is explored. The “learning-forgetting-relearning” characteristics and device integrability are visually demonstrated. Applying the device to a convolutional neural network, the recognition accuracy of MNIST handwritten digits reaches 98.7%.",,33
BCM Learning Rules Emulated by a-IGZO-Based Photoelectronic Neuromorphic Transistors,"Shuo Ke, Chuanyu Fu, Xinhuang Lin, Yixin Zhu, Huiwu Mao, Li Zhu, Xiangjing Wang, Chunsheng Chen, Changjin Wan, Qing Wan",2022,,"Hardware implementation of Bienenstock–Cooper–Munro (BCM) learning rules would be of great implications toward artificial intelligent systems. In this work, amorphous indium gallium zinc oxide (a-IGZO)-based photoelectronic neuromorphic transistors were proposed for mimicking BCM learning rules. A SiO <sub xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sub> electrolyte film with a large electric-double-layer capacitance ( <inline-formula xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink""> <tex-math notation=""LaTeX"">$0.33~\mu \text{F}$ </tex-math></inline-formula> /cm <sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup> ) was used for the gate dielectric film. Light induced short-term synaptic plasticity can be mimicked by such device, including excitatory postsynaptic current (EPSC), paired-pulse facilitation (PPF), and high-pass temporal filtering. More importantly, BCM learning rules are realized based on this photoelectronic neuromorphic transistor. These results would provide a step forward the development of photoelectronic neuromorphic systems with sophisticated learning rules.",,33
Neuromorphic Computing with Fe-FinFETs in the Presence of Variation,"Sourav De, Md. Aftab Baig, Bo-Han Qiu, Hoang‐Hiep Le, Yao‐Jen Lee, Darsen D. Lu",2022,,"This paper reports a comprehensive study on the impacts of process variation on the inference accuracy of pre-trained all-ferroelectric (Fe) FinFET deep neural networks. Multiple-level-cell (MLC) operation with a novel adaptive-program-and-read algorithm with 100ns write pulse has been experimentally demonstrated in 5 nm thick hafnium zirconium oxide (HZO)-based FE-FinFET. With pre-trained neural network (NN) with 97.5% inference accuracy on MNIST dataset as baseline, device to device variation is shown to have negligible impact. Flicker noise characterization at various bias conditions depicts that drain current fluctuation is less than 0.7% with virtually no inference accuracy degradation.",,33
